cancer_indication,gene,median_value,canonical_gene
breast,BRCA2,0.032,BRCA2
breast,BRCA1,0.094,BRCA1
breast,TP53,0.233,TP53
breast,GATA3,0.602,GATA3
breast,CDH1,0.561,CDH1
breast,ESR1,0.716,ESR1
breast,MAP3K1,0.701,MAP3K1
breast,HER2,0.42,ERBB2
breast,PIK3CA,0.449,PIK3CA
breast,AKT1,0.278,AKT1
lung,ALK,0.215,ALK
lung,RET,0.763,RET
lung,ROS1,0.102,ROS1
lung,STK11,0.38,STK11
lung,KRAS,0.359,KRAS
prostate,MYC,0.973,MYC
prostate,BRCA2,0.379,BRCA2
prostate,AR,0.552,AR
prostate,ATM,0.829,ATM
prostate,RB1,0.619,RB1
prostate,CDK12,0.862,CDK12
prostate,SPOP,0.577,SPOP
gastric,MET,0.453,MET
gastric,CDH1,0.834,CDH1
gastric,PIK3CA,0.163,PIK3CA
gastric,KRAS,0.355,KRAS
gastric,ERBB2,0.67,ERBB2
gastric,RHOA,0.702,RHOA
gastric,CLDN18,0.684,CLDN18
gastric,TP53,0.071,TP53
gastric,FGFR2,0.635,FGFR2
gastric,ARID1A,0.534,ARID1A
glioblastoma,IDH2,0.22,IDH2
glioblastoma,NF1,0.324,NF1
glioblastoma,PDGFRA,0.768,PDGFRA
glioblastoma,TERT,0.056,TERT
glioblastoma,TP53,0.822,TP53
glioblastoma,PTEN,0.805,PTEN
colorectal,PIK3CA,0.499,PIK3CA
colorectal,KRAS,0.885,KRAS
colorectal,TP53,0.643,TP53
colorectal,MLH1,0.143,MLH1
colorectal,SMAD4,0.14,SMAD4
colorectal,BRAF,0.745,BRAF
colorectal,TCF7L2,0.539,TCF7L2
colorectal,NRAS,0.747,NRAS
melanoma,GNA11,0.756,GNA11
melanoma,MITF,0.861,MITF
melanoma,CDKN2A,0.153,CDKN2A
melanoma,NRAS,0.16,NRAS
melanoma,GNAQ,0.68,GNAQ
melanoma,PTEN,0.596,PTEN
melanoma,TP53,0.385,TP53
melanoma,BRAF,0.596,BRAF
ovarian,CCNE1,0.34,CCNE1
ovarian,ARID1A,0.294,ARID1A
ovarian,BRCA1,0.158,BRCA1
ovarian,KRAS,0.003,KRAS
ovarian,PTEN,0.722,PTEN
ovarian,RAD51C,0.72,RAD51C
ovarian,TP53,0.972,TP53
ovarian,PIK3CA,0.762,PIK3CA
pancreatic,TP53,0.489,TP53
pancreatic,BRCA2,0.112,BRCA2
pancreatic,SMAD4,0.363,SMAD4
pancreatic,RNF43,0.985,RNF43
pancreatic,CDKN2A,0.807,CDKN2A
pancreatic,PALB2,0.239,PALB2
pancreatic,KRAS,0.241,KRAS
pancreatic,ATM,0.567,ATM
pancreatic,TGFBR2,0.079,TGFBR2
renal,TSC1,0.929,TSC1
renal,PBRM1,0.755,PBRM1
renal,SETD2,0.69,SETD2
renal,TSC2,0.713,TSC2
renal,PTEN,0.399,PTEN
renal,BAP1,0.672,BAP1
renal,TP53,0.373,TP53
renal,MTOR,0.9,MTOR
renal,KDM5C,0.451,KDM5C
renal,VHL,0.248,VHL
